"","correlation","pvalue","tumor","stage","process"
"secretory vesicle34","0.617396414928005","5.08244113461842e-10","KIRC","IV","secretory vesicle"
"vesicle cytoskeletal trafficking34","0.537802779060493","1.58006712824843e-07","KIRC","IV","vesicle cytoskeletal trafficking"
"exocytosis34","0.569812350447085","1.88502835563042e-08","KIRC","IV","exocytosis"
"endocytosis34","0.575689517652492","1.24431003278858e-08","KIRC","IV","endocytosis"
"secretion34","0.523214810461358","3.87826958991866e-07","KIRC","IV","secretion"
"intracellular transport34","0.598988287645355","2.20611506840385e-09","KIRC","IV","intracellular transport"
"intracellular protein transport34","0.630347172662777","1.70674585575625e-10","KIRC","IV","intracellular protein transport"
"transport along microtubule34","0.480689307753663","4.23755705591944e-06","KIRC","IV","transport along microtubule"
"vesicle lumen34","0.596700390411822","2.63068322681193e-09","KIRC","IV","vesicle lumen"
"vesicle membrane34","0.61428991226229","6.55473453292643e-10","KIRC","IV","vesicle membrane"
"vesicle organization34","0.617165526216364","5.1799498024252e-10","KIRC","IV","vesicle organization"
"vesicle targeting34","0.582993996893497","7.34052418849274e-09","KIRC","IV","vesicle targeting"
"vesicle docking34","0.650770328701566","2.74398281874255e-11","KIRC","IV","vesicle docking"
"clathrin coated vesicle34","0.586961084757147","5.48105116848774e-09","KIRC","IV","clathrin coated vesicle"
"copi coated vesicle34","0.562339952143067","3.15965171804322e-08","KIRC","IV","copi coated vesicle"
"vesicle tethering34","0.582637168884598","7.534509238738e-09","KIRC","IV","vesicle tethering"
"intercellular transport34","0.327484152638428","0.00251045279719619","KIRC","IV","intercellular transport"
"regulation of vesicle fusion34","0.312245497670123","0.00405600017222518","KIRC","IV","regulation of vesicle fusion"
"coated vesicle20","0.0489112594375752","0.770583417637148","STAD","IIA","coated vesicle"
"endocytic vesicle20","0.25309114782799","0.125245285487934","STAD","IIA","endocytic vesicle"
"phagocytic vesicle20","0.105810263705001","0.527224662098434","STAD","IIA","phagocytic vesicle"
"secretory vesicle20","0.172994857205384","0.298969792017048","STAD","IIA","secretory vesicle"
"vesicle cytoskeletal trafficking20","-0.00361089834774045","0.982834401871534","STAD","IIA","vesicle cytoskeletal trafficking"
"exocytosis20","0.302768355399934","0.0646491356161352","STAD","IIA","exocytosis"
"endocytosis20","0.379800853485064","0.0186761510100877","STAD","IIA","endocytosis"
"secretion20","0.263814421709159","0.109502250749683","STAD","IIA","secretion"
"intracellular transport20","-0.10340299813984","0.536716783346053","STAD","IIA","intracellular transport"
"intracellular protein transport20","-0.131195973301236","0.432375853178754","STAD","IIA","intracellular protein transport"
"transport along microtubule20","0.24871430134588","0.132135002622344","STAD","IIA","transport along microtubule"
"vesicle lumen20","0.0454097822518875","0.786611483011049","STAD","IIA","vesicle lumen"
"vesicle membrane20","0.158332421490316","0.342402191598388","STAD","IIA","vesicle membrane"
"vesicle organization20","0.104934894408579","0.530666829116627","STAD","IIA","vesicle organization"
"vesicle targeting20","-0.238209869788817","0.149811524451014","STAD","IIA","vesicle targeting"
"vesicle docking20","0.235802604223657","0.154094860009468","STAD","IIA","vesicle docking"
"clathrin coated vesicle20","0.231206915417442","0.162518367380729","STAD","IIA","clathrin coated vesicle"
"copi coated vesicle20","-0.220702483860379","0.183010801628738","STAD","IIA","copi coated vesicle"
"vesicle tethering20","-0.257905678958311","0.11798022670248","STAD","IIA","vesicle tethering"
"intercellular transport20","-0.161177371703687","0.333686996870779","STAD","IIA","intercellular transport"
"regulation of vesicle fusion20","0.452894189736295","0.00430084500789785","STAD","IIA","regulation of vesicle fusion"
"coated vesicle110","-0.183227217184385","0.12341446585766","STAD","IIIA","coated vesicle"
"endocytic vesicle110","-0.070711942890218","0.555023538214564","STAD","IIIA","endocytic vesicle"
"phagocytic vesicle110","-0.0771432246446717","0.519519220785934","STAD","IIIA","phagocytic vesicle"
"secretory vesicle110","-0.0837996012605312","0.484020373215817","STAD","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking110","-0.181040581387871","0.128033850481131","STAD","IIIA","vesicle cytoskeletal trafficking"
"exocytosis110","-0.0447938774197698","0.708683942209424","STAD","IIIA","exocytosis"
"endocytosis110","0.0748279632130684","0.532167481039286","STAD","IIIA","endocytosis"
"secretion110","-0.050935751495273","0.670897920041766","STAD","IIIA","secretion"
"intracellular transport110","-0.160074602868352","0.179211832079008","STAD","IIIA","intracellular transport"
"intracellular protein transport110","-0.162968679657856","0.171375590278741","STAD","IIIA","intracellular protein transport"
"transport along microtubule110","0.187053829828285","0.115638309740341","STAD","IIIA","transport along microtubule"
"vesicle lumen110","-0.110585889767831","0.355085342481515","STAD","IIIA","vesicle lumen"
"vesicle membrane110","-0.139880378159367","0.241227704396813","STAD","IIIA","vesicle membrane"
"vesicle organization110","-0.150138272557721","0.208095894884328","STAD","IIIA","vesicle organization"
"vesicle targeting110","-0.272525564344974","0.0205577411347604","STAD","IIIA","vesicle targeting"
"vesicle docking110","-0.11100392308187","0.353258223355621","STAD","IIIA","vesicle docking"
"clathrin coated vesicle110","-0.120457907260917","0.313499334325678","STAD","IIIA","clathrin coated vesicle"
"copi coated vesicle110","-0.255965013827256","0.0299904036870715","STAD","IIIA","copi coated vesicle"
"vesicle tethering110","-0.265676249276481","0.0240966159734783","STAD","IIIA","vesicle tethering"
"intercellular transport110","-0.0440221236092353","0.713484236441426","STAD","IIIA","intercellular transport"
"regulation of vesicle fusion110","0.34108302784745","0.00336784661492007","STAD","IIIA","regulation of vesicle fusion"
"coated vesicle25","0.060207991242474","0.760867615387937","STAD","II","coated vesicle"
"endocytic vesicle25","0.207991242474001","0.288200312583856","STAD","II","endocytic vesicle"
"phagocytic vesicle25","0.112753147235906","0.567824409870983","STAD","II","phagocytic vesicle"
"secretory vesicle25","0.264367816091954","0.174002267818327","STAD","II","secretory vesicle"
"vesicle cytoskeletal trafficking25","-0.158182813355227","0.421429598350327","STAD","II","vesicle cytoskeletal trafficking"
"exocytosis25","0.214012041598248","0.27415419231382","STAD","II","exocytosis"
"endocytosis25","0.269293924466338","0.1658206854769","STAD","II","endocytosis"
"secretion25","0.256704980842912","0.187286122640075","STAD","II","secretion"
"intracellular transport25","-0.106732348111658","0.588801650531921","STAD","II","intracellular transport"
"intracellular protein transport25","-0.0689655172413793","0.727307935482158","STAD","II","intracellular protein transport"
"transport along microtubule25","0.168582375478927","0.391143644272459","STAD","II","transport along microtubule"
"vesicle lumen25","0.198686371100164","0.310789428898776","STAD","II","vesicle lumen"
"vesicle membrane25","0.144499178981938","0.46317987111309","STAD","II","vesicle membrane"
"vesicle organization25","0.0317460317460317","0.87259312942846","STAD","II","vesicle organization"
"vesicle targeting25","-0.217296113847838","0.266681505732911","STAD","II","vesicle targeting"
"vesicle docking25","0.148330596606459","0.451276451007917","STAD","II","vesicle docking"
"clathrin coated vesicle25","0.122058018609743","0.536084917236463","STAD","II","clathrin coated vesicle"
"copi coated vesicle25","-0.0498084291187739","0.801272087786034","STAD","II","copi coated vesicle"
"vesicle tethering25","-0.119321291735085","0.545332146640453","STAD","II","vesicle tethering"
"intercellular transport25","0.469622331691297","0.0116893036002237","STAD","II","intercellular transport"
"regulation of vesicle fusion25","0.351395730706076","0.0667117314004138","STAD","II","regulation of vesicle fusion"
"coated vesicle35","-0.00995732574679943","0.953357874432174","STAD","IIIC","coated vesicle"
"endocytic vesicle35","0.400426742532006","0.0140557481994787","STAD","IIIC","endocytic vesicle"
"phagocytic vesicle35","0.250829777145567","0.134282259143214","STAD","IIIC","phagocytic vesicle"
"secretory vesicle35","0.308440018966335","0.0632618770659326","STAD","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking35","0.136557610241821","0.420287011776827","STAD","IIIC","vesicle cytoskeletal trafficking"
"exocytosis35","0.416548127074443","0.0103311995900142","STAD","IIIC","exocytosis"
"endocytosis35","0.464675201517307","0.00376171150624516","STAD","IIIC","endocytosis"
"secretion35","0.40398293029872","0.0131491692569794","STAD","IIIC","secretion"
"intracellular transport35","-0.0391180654338549","0.818195230695439","STAD","IIIC","intracellular transport"
"intracellular protein transport35","-0.0462304409672831","0.785850991036773","STAD","IIIC","intracellular protein transport"
"transport along microtubule35","0.439070649596965","0.00655400690862962","STAD","IIIC","transport along microtubule"
"vesicle lumen35","0.115457562825984","0.496202249976006","STAD","IIIC","vesicle lumen"
"vesicle membrane35","0.265765765765766","0.111869540376807","STAD","IIIC","vesicle membrane"
"vesicle organization35","0.202465623518255","0.229450639261668","STAD","IIIC","vesicle organization"
"vesicle targeting35","-0.186581318160266","0.268847347180368","STAD","IIIC","vesicle targeting"
"vesicle docking35","0.431484115694642","0.00766548902447317","STAD","IIIC","vesicle docking"
"clathrin coated vesicle35","0.19203413940256","0.254852247883746","STAD","IIIC","clathrin coated vesicle"
"copi coated vesicle35","-0.26434329065908","0.113873693161154","STAD","IIIC","copi coated vesicle"
"vesicle tethering35","-0.179706021811285","0.287199551465923","STAD","IIIC","vesicle tethering"
"intercellular transport35","0.283783783783784","0.0887299693266268","STAD","IIIC","intercellular transport"
"regulation of vesicle fusion35","0.568515884305358","0.000241587123207765","STAD","IIIC","regulation of vesicle fusion"
"coated vesicle44","0.207085020242915","0.20589501716882","STAD","IV","coated vesicle"
"endocytic vesicle44","0.413765182186235","0.00883430536140195","STAD","IV","endocytic vesicle"
"phagocytic vesicle44","0.439676113360324","0.00509991390572129","STAD","IV","phagocytic vesicle"
"secretory vesicle44","0.363157894736842","0.0230664341385938","STAD","IV","secretory vesicle"
"vesicle cytoskeletal trafficking44","0.159311740890688","0.332676116747435","STAD","IV","vesicle cytoskeletal trafficking"
"exocytosis44","0.323279352226721","0.0447008374624767","STAD","IV","exocytosis"
"endocytosis44","0.425708502024292","0.00689355101084654","STAD","IV","endocytosis"
"secretion44","0.290283400809717","0.0730271389783879","STAD","IV","secretion"
"intracellular transport44","0.279554655870445","0.0847855842741867","STAD","IV","intracellular transport"
"intracellular protein transport44","0.279554655870445","0.0847855842741867","STAD","IV","intracellular protein transport"
"transport along microtubule44","0.373279352226721","0.0192531093756378","STAD","IV","transport along microtubule"
"vesicle lumen44","0.330161943319838","0.0400980979384542","STAD","IV","vesicle lumen"
"vesicle membrane44","0.372064777327935","0.0196807813070292","STAD","IV","vesicle membrane"
"vesicle organization44","0.312348178137652","0.0528807539398739","STAD","IV","vesicle organization"
"vesicle targeting44","0.054251012145749","0.742899400964388","STAD","IV","vesicle targeting"
"vesicle docking44","0.223076923076923","0.172233377128148","STAD","IV","vesicle docking"
"clathrin coated vesicle44","0.296153846153846","0.0671579717805533","STAD","IV","clathrin coated vesicle"
"copi coated vesicle44","-0.0269230769230769","0.87075970902668","STAD","IV","copi coated vesicle"
"vesicle tethering44","-0.101214574898785","0.539811960886434","STAD","IV","vesicle tethering"
"intercellular transport44","0.0269230769230769","0.87075970902668","STAD","IV","intercellular transport"
"regulation of vesicle fusion44","0.443927125506073","0.00464140770812294","STAD","IV","regulation of vesicle fusion"
"coated vesicle54","-0.0568480300187617","0.727525145059408","STAD","IB","coated vesicle"
"endocytic vesicle54","0.0120075046904315","0.941379142420527","STAD","IB","endocytic vesicle"
"phagocytic vesicle54","-0.0378986866791745","0.816402086493764","STAD","IB","phagocytic vesicle"
"secretory vesicle54","-0.0228893058161351","0.888507950761335","STAD","IB","secretory vesicle"
"vesicle cytoskeletal trafficking54","0.0651031894934334","0.689807682670685","STAD","IB","vesicle cytoskeletal trafficking"
"exocytosis54","0.0604127579737336","0.711154130161402","STAD","IB","exocytosis"
"endocytosis54","0.0932457786116323","0.567127739601223","STAD","IB","endocytosis"
"secretion54","-0.00450281425891182","0.97800083531232","STAD","IB","secretion"
"intracellular transport54","-0.0185741088180113","0.909429942713411","STAD","IB","intracellular transport"
"intracellular protein transport54","-0.024202626641651","0.882154502385807","STAD","IB","intracellular protein transport"
"transport along microtubule54","0.200375234521576","0.215079783391954","STAD","IB","transport along microtubule"
"vesicle lumen54","-0.0696060037523452","0.669535391822648","STAD","IB","vesicle lumen"
"vesicle membrane54","-0.0294559099437148","0.856817264633292","STAD","IB","vesicle membrane"
"vesicle organization54","-0.00637898686679174","0.968838333642626","STAD","IB","vesicle organization"
"vesicle targeting54","-0.249155722326454","0.121046641663517","STAD","IB","vesicle targeting"
"vesicle docking54","0.0819887429643527","0.615001160095956","STAD","IB","vesicle docking"
"clathrin coated vesicle54","0.026266416510319","0.872185349556323","STAD","IB","clathrin coated vesicle"
"copi coated vesicle54","-0.216322701688555","0.180018203072366","STAD","IB","copi coated vesicle"
"vesicle tethering54","-0.122138836772983","0.452775197618788","STAD","IB","vesicle tethering"
"intercellular transport54","0.049718574108818","0.760621155188852","STAD","IB","intercellular transport"
